n_0,component,beta,volume,S,Z,betaE,betaF,betaOmega,betamu,dens,n,betapV,PE_n,betaF_n
88,0,1.372288015808758,512.0,259.16314865277224,0.08953480681821123,-66.67354640391926,-325.8366950566915,-7.8790630000025885,-3.6131549097351012,0.171875,88.0,7.8790630000025885,-1.6451749999999998,-3.7026897165533126
89,0,1.372288015808758,512.0,260.075818942089,0.08381478089888353,-69.37652152433756,-329.45234046642656,-7.459515500000634,-3.617896909735123,0.173828125,89.0,7.459515500000634,-1.6611028089887643,-3.7017116906340064
90,0,1.372288015808758,512.0,260.95975541566304,0.07850802222219878,-72.1127334604987,-333.07248887616174,-7.065721999997891,-3.622297409735154,0.17578125,90.0,7.065721999997891,-1.6769457777777776,-3.700805431957353
91,0,1.372288015808758,512.0,261.8384250417668,0.07316341208789524,-74.85851024413006,-336.69693528589687,-6.657870499998467,-3.6268029097351473,0.177734375,91.0,6.657870499998467,-1.6925171428571428,-3.6999663218230427
92,0,1.372288015808758,512.0,262.69674968870197,0.06777527173912166,-77.62934500693007,-340.32609469563204,-6.235324999999193,-3.6314214097351396,0.1796875,92.0,6.235324999999193,-1.7079484782608696,-3.699196681474261
93,0,1.372288015808758,512.0,263.5501432712082,0.062465327957012,-80.409634834159,-343.95977810536715,-5.809275500002116,-3.636026909735108,0.181640625,93.0,5.809275500002116,-1.7231220430107526,-3.69849223769212
94,0,1.372288015808758,512.0,264.38582811329627,0.057105234042556643,-83.21232040180595,-347.59814851510225,-5.3678920000003245,-3.640747409735127,0.18359375,94.0,5.3678920000003245,-1.7381463829787234,-3.6978526437776837
95,0,1.372288015808758,512.0,265.2184723594547,0.052059647368397285,-86.02280056538268,-351.2412729248374,-4.945666499997742,-3.6452169097351543,0.185546875,95.0,4.945666499997742,-1.7529142105263158,-3.6972765571035517
96,0,1.372288015808758,512.0,266.0296123739572,0.04723665624998219,-88.85896996061533,-354.88858233457256,-4.53471899999829,-3.6495194097351487,0.1875,96.0,4.53471899999829,-1.7675693749999999,-3.696756065985131
97,0,1.372288015808758,512.0,266.8240117072559,0.0425949639175392,-91.71630003705178,-358.5403117443077,-4.131711500001302,-3.6536969097351175,0.189453125,97.0,4.131711500001302,-1.7820813402061855,-3.696291873652657
98,0,1.372288015808758,512.0,267.633145947239,0.037956397959203164,-94.5628302068038,-362.1959761540428,-3.7197270000019103,-3.657920909735111,0.19140625,98.0,3.7197270000019103,-1.7962168367346938,-3.6958773076943143
99,0,1.372288015808758,512.0,268.4183456566543,0.033312292929298506,-97.43780790712358,-365.8561535637779,-3.2979170000005524,-3.662204409735125,0.193359375,99.0,3.2979170000005524,-1.8102761616161618,-3.6955167026644236
100,0,1.372288015808758,512.0,269.1955369544108,0.028461440000008907,-100.32484801910226,-369.52038497351305,-2.8461440000008906,-3.6667424097351216,0.1953125,100.0,2.8461440000008906,-1.8241422,-3.6952038497351305
101,0,1.372288015808758,512.0,269.9605692062093,0.023437504950516986,-103.22906917703887,-373.18963838324817,-2.3671880000022156,-3.6715094097351084,0.197265625,101.0,2.3671880000022156,-1.837857623762376,-3.6949469146856253
102,0,1.372288015808758,512.0,270.71533391607744,0.018989343137239337,-106.14806987690582,-376.86340379298326,-1.9369129999984125,-3.6757499097351456,0.19921875,102.0,1.9369129999984125,-1.851409705882353,-3.694739252872385
103,0,1.372288015808758,512.0,271.4564062791823,0.014965747572793448,-109.08473192353614,-380.54113820271846,-1.541471999997725,-3.6796084097351525,0.201171875,103.0,1.541471999997725,-1.8648235922330096,-3.694574157307946
104,0,1.372288015808758,512.0,272.19689021215714,0.010894865384605951,-112.02573040029642,-384.22262061245357,-1.133065999999019,-3.68355340973514,0.203125,104.0,1.133065999999019,-1.8780099038461537,-3.694448275119746
105,0,1.372288015808758,512.0,272.9147565288238,0.006433828571442475,-114.99348849336496,-387.90824502218874,-0.6755520000014599,-3.6879304097351167,0.205078125,105.0,0.6755520000014599,-1.8911307619047617,-3.6943642383065596
106,0,1.372288015808758,512.0,273.62488425334794,0.001897886792479947,-117.97359717857586,-391.5984814319238,-0.2011760000028744,-3.692427409735103,0.20703125,106.0,0.2011760000028744,-1.9040889622641508,-3.694325296527583
107,0,1.372288015808758,512.0,274.3441146486466,-0.0021713738318131642,-120.94898519301233,-395.29309984165894,0.2323370000040086,-3.6964994097351678,0.208984375,107.0,-0.2323370000040086,-1.9167728037383178,-3.6943280359033546
108,0,1.372288015808758,512.0,275.03547580518097,-0.0062438518518574794,-123.95600444621317,-398.99148025139414,0.6743360000006078,-3.7006094097351365,0.2109375,108.0,-0.6743360000006078,-1.9294351851851852,-3.694365557883279
109,0,1.372288015808758,512.0,275.7314184676366,-0.010041119266054778,-126.9629001934926,-402.6943186611292,1.0944819999999709,-3.70448440973513,0.212890625,109.0,-1.0944819999999709,-1.9418644036697248,-3.694443290469075
110,0,1.372288015808758,512.0,276.41817903202866,-0.014095872727254098,-129.98227003883574,-406.4004490708644,1.5505459999979507,-3.7086454097351123,0.21484375,110.0,-1.5505459999979507,-1.9541502727272726,-3.694549537007858
111,0,1.372288015808758,512.0,277.0980444135631,-0.018338225225231534,-133.01356506703632,-410.11160948059944,2.0355430000007004,-3.7130374097351364,0.216796875,111.0,-2.0355430000007004,-1.966293063063063,-3.694699184509905
112,0,1.372288015808758,512.0,277.76853099878656,-0.02193173214288383,-136.0579928915481,-413.82652389033467,2.456354000002989,-3.7168114097351577,0.21875,112.0,-2.456354000002989,-1.9783044642857142,-3.6948796775922736
113,0,1.372288015808758,512.0,278.4448700160336,-0.025699858407065162,-139.10036228403618,-417.54523230006976,2.904083999998363,-3.720790409735116,0.220703125,113.0,-2.904083999998363,-1.99009,-3.6950905513280508
114,0,1.372288015808758,512.0,279.0882251966927,-0.029386157894747526,-142.1798795131122,-421.2681047098049,3.3500220000012177,-3.7247204097351414,0.22265625,114.0,-3.3500220000012177,-2.0019062280701756,-3.6953342518403938
115,0,1.372288015808758,512.0,279.72251409880477,-0.03316005652173949,-145.27215902073527,-424.99467311954004,3.813406500000042,-3.728765909735131,0.224609375,115.0,-3.813406500000042,-2.0135978260869565,-3.6956058532133915
116,0,1.372288015808758,512.0,280.35935913497565,-0.03722124999997628,-148.36627739429952,-428.72563652927516,4.317664999997248,-3.733131909735107,0.2265625,116.0,-4.317664999997248,-2.0250993965517243,-3.6959106597351306
117,0,1.372288015808758,512.0,280.9907018660731,-0.04088908547006984,-151.47023507293716,-432.46093693901025,4.784022999998172,-3.7371364097351147,0.228515625,117.0,-4.784022999998172,-2.036465641025641,-3.696247324265045
