phase,mu_0,beta,volume,kT,density,omega,P
1,-2.180137072279145,0.8333333333333334,512.0,1.2,0.7389430400682415,-542.7373907612152,1.0600339663304985
1,-2.1721302854736573,0.8333333333333334,512.0,1.2,0.7393877232369654,-545.767582491883,1.065952309554459
1,-2.164176568626343,0.8333333333333334,512.0,1.2,0.7398240625406148,-548.7794836514604,1.0718349290067586
1,-2.156275222858619,0.8333333333333334,512.0,1.2,0.7402520953414893,-551.773301427261,1.0776822293501191
1,-2.148425563006949,0.8333333333333334,512.0,1.2,0.7406718637302935,-554.7492391002526,1.0834946076176808
1,-2.14062691726631,0.8333333333333334,512.0,1.2,0.7410834147333413,-557.7074961659199,1.0892724534490623
1,-2.132878626845166,0.8333333333333334,512.0,1.2,0.7414868004576445,-560.6482684519254,1.0950161493201669
1,-2.125180045631513,0.8333333333333334,512.0,1.2,0.7418820781769562,-563.5717482324483,1.1007260707665005
1,-2.1175305398695703,0.8333333333333334,512.0,1.2,0.7422693103622965,-566.4781243391066,1.1064025865998175
1,-2.1099294878467036,0.8333333333333334,512.0,1.2,0.7426485646608662,-569.3675822683845,1.1120460591179384
1,-2.1023762795902106,0.8333333333333334,512.0,1.2,0.7430199138275175,-572.2403042855033,1.1176568443076236
1,-2.094870316573583,0.8333333333333334,512.0,1.2,0.7433834356131773,-575.0964695246954,1.1232352920404207
1,-2.0874110114319016,0.8333333333333334,512.0,1.2,0.7437392126146973,-577.9362540858631,1.1287817462614513
1,-2.0799977876860214,0.8333333333333334,512.0,1.2,0.7440873320906889,-580.759831127613,1.134296545171119
1,-2.0726300794752235,0.8333333333333334,512.0,1.2,0.7444278857478406,-583.5673709566847,1.1397800213997749
1,-2.0653073312980252,0.8333333333333334,512.0,1.2,0.7447609695021578,-586.3590411138003,1.1452325021753913
1,-2.0580289977608524,0.8333333333333334,512.0,1.2,0.74508668321941,-589.1350064559804,1.1506543094843367
1,-2.0507945433342822,0.8333333333333334,512.0,1.2,0.7454051304389047,-591.895429235386,1.1560457602253633
1,-2.043603442116596,0.8333333333333334,512.0,1.2,0.7457164180844811,-594.6404691747563,1.1614071663569459
1,-2.03645517760437,0.8333333333333334,512.0,1.2,0.7460206561663794,-597.3702835395236,1.166738835038132
1,-2.0293492424698627,0.8333333333333334,512.0,1.2,0.7463179574773712,-600.0850272066967,1.1720410687630796
1,-2.02228513834495,0.8333333333333334,512.0,1.2,0.7466084372862573,-602.7848527306135,1.1773141654894794
1,-2.015262375611387,0.8333333333333334,512.0,1.2,0.7468922130315558,-605.4699104056639,1.1825584187610623
1,-2.0082804731971695,0.8333333333333334,512.0,1.2,0.7471694040179045,-608.1403483261018,1.1877741178244177
