n_0,component,beta,volume,S,Z,betaE,betaF,betaOmega,betamu,dens,n,betapV,PE_n,betaF_n
45,0,0.6666666666666666,512.0,209.9735546904419,0.8564754444445356,53.965758,-156.0077966904419,-38.5413950000041,-2.6103644820097287,0.087890625,45.0,38.5413950000041,-0.45114139999999997,-3.466839926454264
46,0,0.6666666666666666,512.0,213.46879950578506,0.8557447826086012,54.85968333333334,-158.6091161724517,-39.36425999999565,-2.592279482009914,0.08984375,46.0,39.36425999999565,-0.46109728260869565,-3.4480242646185153
47,0,0.6666666666666666,512.0,216.93206365446173,0.8549501063828774,55.739708,-161.19235565446172,-40.182654999995236,-2.574674482009925,0.091796875,47.0,40.182654999995236,-0.4710731489361702,-3.4296245883928025
48,0,0.6666666666666666,512.0,220.3657758031382,0.8542802083333866,56.60731066666666,-163.75846513647156,-41.005450000002554,-2.557354482009771,0.09375,48.0,41.005450000002554,-0.4810215416666667,-3.4116346903431576
49,0,0.6666666666666666,512.0,223.76987661848125,0.8535622448979868,57.462812,-166.30706461848126,-41.82455000000135,-2.540459482009794,0.095703125,49.0,41.82455000000135,-0.49093432653061225,-3.394021726907781
50,0,0.6666666666666666,512.0,227.14456410049115,0.8528831999999545,58.30518,-168.83938410049115,-42.644159999997726,-2.5239044820098684,0.09765625,50.0,42.644159999997726,-0.5008446,-3.376787682009823
51,0,0.6666666666666666,512.0,230.490273582501,0.85197999999997,59.135400000000004,-171.354873582501,-43.45097999999847,-2.5079194820098536,0.099609375,51.0,43.45097999999847,-0.5107235294117647,-3.3598994820098236
52,0,0.6666666666666666,512.0,233.80779106451087,0.8513101923077516,59.952568,-173.85522306451085,-44.26813000000308,-2.492059482009765,0.1015625,52.0,44.26813000000308,-0.520599,-3.3433696743175165
53,0,0.6666666666666666,512.0,237.09641587985385,0.8506663207547719,60.757423333333335,-176.33899254652053,-45.08531500000291,-2.4764844820097665,0.103515625,53.0,45.08531500000291,-0.530450283018868,-3.3271508027645385
54,0,0.6666666666666666,512.0,240.35604736186372,0.849538333333299,61.54785533333333,-178.80819202853039,-45.875069999998146,-2.4617244820098563,0.10546875,54.0,45.875069999998146,-0.5403373518518518,-3.3112628153431554
